"","variable","ins_score","y_score"
"1","math_1998_imp",0.0901268272924836,0.516084691560612
"2","math_1998_miss",0.0986774564605079,0.443343597092713
"3","read_1998_imp",0.0889387890906986,0.503235669877251
"4","read_1998_miss",0.0994878580176554,0.439321290032499
"5","math_1999_imp",0.101200283418331,0.533498899874825
"6","math_1999_miss",0.131964562546069,0.479653235170646
"7","read_1999_imp",0.0931782028881954,0.561176151220133
"8","read_1999_miss",0.128835919127893,0.465716971274598
"9","math_2000_imp",0.106828931877057,0.780175531091323
"10","math_2000_miss",0.110423284832886,0.544685087619745
"11","read_2000_imp",0.112125227145704,0.64921168693873
"12","read_2000_miss",0.112544295447383,0.535142690152237
"13","math_2001_imp",0.104567978692153,1
"14","math_2001_miss",0.112700476797848,0.571587759787048
"15","read_2001_imp",0.105744352511481,0.961389285883216
"16","read_2001_miss",0.115193294191661,0.595473288943894
"17","ch1_mod2mix_all_test",0,0
"18","ch2_mod2mix_all_test",0.161600153707089,0.732059794092207
"19","ch3_mod2mix_all_test",0.205749750590778,0.652873632905454
"20","hm_mod2mix_all_test",1,0.6856554601158
