"","variable","ins_score","y_score"
"1","math_1998_imp",0.618728453389171,0.514089059748416
"2","math_1998_miss",0.655151129722411,0.436522323559637
"3","read_1998_imp",0.623574760830956,0.507563983473894
"4","read_1998_miss",0.6724471409193,0.444049382626573
"5","math_1999_imp",0.749387694792255,0.529227461200882
"6","math_1999_miss",0.970625821146419,0.480566885642974
"7","read_1999_imp",0.666537360388885,0.568308770445354
"8","read_1999_miss",0.981764352642805,0.483546777766561
"9","math_2000_imp",0.748835050990939,0.799931466339654
"10","math_2000_miss",0.747890497598003,0.551714061101939
"11","read_2000_imp",0.862287005993168,0.658447899285989
"12","read_2000_miss",0.81858784048874,0.546451784821726
"13","math_2001_imp",0.692458837734212,1
"14","math_2001_miss",0.761055284033662,0.579507939384552
"15","read_2001_imp",0.753783128155172,0.968564208675755
"16","read_2001_miss",0.826788205819895,0.595865005265173
"17","ch1_mod2mix_all_test",0,0
"18","ch2_mod2mix_all_test",0.890237619787847,0.72861029574795
"19","ch3_mod2mix_all_test",1,0.636231239559391
"20","hm_mod2mix_all_test",0.852209889838064,0.687379366183803
