"","variable","ins_score","y_score"
"1","math_1998_imp",0.804480986424948,0.510996073055949
"2","math_1998_miss",0.792349039443042,0.454148091692519
"3","read_1998_imp",0.759199579561506,0.496230945473315
"4","read_1998_miss",0.798010820472661,0.451077043900278
"5","math_1999_imp",0.914889372066404,0.538748103583006
"6","math_1999_miss",0.790704443144162,0.488762442505748
"7","read_1999_imp",0.863855239848715,0.551289658647028
"8","read_1999_miss",0.767793898233367,0.478510339422155
"9","math_2000_imp",0.90228811059507,0.796742012599049
"10","math_2000_miss",0.766610460075706,0.562350230716299
"11","read_2000_imp",0.874803558751845,0.653289901710872
"12","read_2000_miss",0.74277046752601,0.541469157035824
"13","math_2001_imp",0.930702515081102,1
"14","math_2001_miss",0.817589749891751,0.596469663690039
"15","read_2001_imp",0.928369528224728,0.990729958488305
"16","read_2001_miss",0.785637084569491,0.601917282292125
"17","ch1_mod2mix_all_test",0,0
"18","ch2_mod2mix_all_test",0.944995830243256,0.721832677863102
"19","ch3_mod2mix_all_test",1,0.652202620827704
"20","hm_mod2mix_all_test",0.898517478838212,0.695416439669367
