"","variable","ins_score","y_score"
"1","l_popcount",0.664312615910758,0.253217236170158
"2","l_no_workers_totcbp",0.469441987447392,0.242828122681512
"3","l_sh_empl",0.136928442915594,0.0983396844039494
"4","l_sh_empl_mfg",0.21607063334349,0.328426135170026
"5","l_sh_empl_mfg_m",0.252771607290943,0.136354501997245
"6","l_sh_empl_mfg_f",0.826039781791521,0.505848477048879
"7","l_sh_empl_mfg_edu_nc",0.268198792183583,0.317621787858291
"8","l_sh_empl_mfg_edu_c",0.31658355151081,0.252409100102236
"9","l_sh_empl_mfg_age1634",0.228498648352288,0.30968515941304
"10","l_sh_empl_mfg_age3549",0.354853452464731,0.23628560731259
"11","l_sh_empl_mfg_age5064",0.240151597491293,1
"12","l_sh_empl_nmfg",0.443916749934628,0.195815189941243
"13","l_sh_empl_nmfg_m",0.311329190599473,0.0928040638138952
"14","l_sh_empl_nmfg_f",0.730971909979179,0.6383847760913
"15","l_sh_empl_nmfg_edu_nc",0.485986812419257,0.270570350659714
"16","l_sh_empl_nmfg_edu_c",0.327685161374025,0.119249412310193
"17","l_sh_empl_nmfg_age1634",0.447843570876478,0.186774816544408
"18","l_sh_empl_nmfg_age3549",0.258873469793729,0.350010104843421
"19","l_sh_empl_nmfg_age5064",0.191816317796092,0.263163999191654
"20","l_sh_unempl",0.180222869237268,0.0831123697930795
"21","l_sh_unempl_m",0.304062629491464,0.0881883314672778
"22","l_sh_unempl_f",0.128287609372674,0.117010220902586
"23","l_sh_unempl_edu_nc",0.241485713001385,0.0764063050561377
"24","l_sh_unempl_edu_c",1,0.166423449045462
"25","l_sh_unempl_age1634",0.176414720077056,0.119227422085528
"26","l_sh_unempl_age3549",0.324015021377723,0.151060865778441
"27","l_sh_unempl_age5064",0.456397568157455,0.113515893690996
"28","l_sh_nilf",0.151240227965991,0.196089451003541
"29","l_sh_nilf_m",0.188537719031282,0.130312555090344
"30","l_sh_nilf_f",0.166596398813217,0.111823716659876
"31","l_sh_nilf_edu_nc",0.182414953795414,0.12401989984245
"32","l_sh_nilf_edu_c",0.172515398914801,0.139264978177902
"33","l_sh_nilf_age1634",0.499204197998603,0.118320411829589
"34","l_sh_nilf_age3549",0.185387361341252,0.128086522065627
"35","l_sh_nilf_age5064",0.20509449967956,0.118122155466931
"36","l_sh_ssadiswkrs",0.182538916290351,0.196690254007193
"37","l_avg_lnwkwage_mfg",0.38474036984618,0.162162946853805
"38","l_avg_lnwkwage_nmfg",0.136244277962948,0.132425575781902
"39","l_trans_totindiv_pc",0.129700389113429,0.124883198242583
"40","l_trans_totmed_pc",0.136494982557172,0.166657454603834
"41","l_trans_fedinc_pc",0.208186177001578,0.135989700639925
"42","l_trans_othinc_pc",0.49294798145868,0.1714166044257
"43","l_trans_unemp_pc",0.169437490107553,0.204436477599199
"44","l_trans_taaimp_pc",0.196371981201841,0.173795368964246
"45","l_trans_totedu_pc",0.614358233356581,0.13624683039772
"46","l_trans_ssaret_pc",0.229547615834693,0.127833302176933
"47","l_trans_ssadis_pc",0.140250489433237,0.206966352847713
"48","l_avg_hhincsum_pc_pw",0.162513853781769,0.106546347341371
"49","l_avg_hhincwage_pc_pw",0.211791228223069,0.173632613786225
"50","outcome2000",0.591329175628877,0.339668381605562
