"","Scenario","Algorithm","n_value","number_of_all_ncs_value","n_iterations","n_permutations","number_of_good_ncs_value","rho_value","single_nc_power","ntree","rejection rate"
"1","Degrees","Bonf","200","10","5","12","2","-100","0","10","0"
"2","Degrees","Bonf","200","10","5","12","3","-100","0","10","0"
"3","Degrees","Bonf","200","10","5","12","4","-100","0","10","0.2"
"4","Degrees","Bonf","200","10","5","12","2","0","0","10","0"
"5","Degrees","Bonf","200","10","5","12","3","0","0","10","0"
"6","Degrees","Bonf","200","10","5","12","4","0","0","10","0"
"7","Degrees","Bonf","200","10","5","12","2","0.5","0","10","0"
"8","Degrees","Bonf","200","10","5","12","3","0.5","0","10","0"
"9","Degrees","Bonf","200","10","5","12","4","0.5","0","10","0"
"10","Degrees","F test","200","10","5","12","2","-100","0","10","0"
"11","Degrees","F test","200","10","5","12","3","-100","0","10","0"
"12","Degrees","F test","200","10","5","12","4","-100","0","10","0"
"13","Degrees","F test","200","10","5","12","2","0","0","10","0"
"14","Degrees","F test","200","10","5","12","3","0","0","10","0.2"
"15","Degrees","F test","200","10","5","12","4","0","0","10","0"
"16","Degrees","F test","200","10","5","12","2","0.5","0","10","0"
"17","Degrees","F test","200","10","5","12","3","0.5","0","10","0"
"18","Degrees","F test","200","10","5","12","4","0.5","0","10","0"
"19","Degrees","SUR","200","10","5","12","2","-100","0","10","0"
"20","Degrees","SUR","200","10","5","12","3","-100","0","10","0"
"21","Degrees","SUR","200","10","5","12","4","-100","0","10","0"
"22","Degrees","SUR","200","10","5","12","2","0","0","10","0.2"
"23","Degrees","SUR","200","10","5","12","3","0","0","10","0"
"24","Degrees","SUR","200","10","5","12","4","0","0","10","0"
"25","Degrees","SUR","200","10","5","12","2","0.5","0","10","0"
"26","Degrees","SUR","200","10","5","12","3","0.5","0","10","0.2"
"27","Degrees","SUR","200","10","5","12","4","0.5","0","10","0"
"28","Degree","RF","200","10","5","12","2","-100","0","10","1"
"29","Degree","RF","200","10","5","12","3","-100","0","10","1"
"30","Degree","RF","200","10","5","12","4","-100","0","10","1"
"31","Degree","RF","200","10","5","12","2","0","0","10","1"
"32","Degree","RF","200","10","5","12","3","0","0","10","1"
"33","Degree","RF","200","10","5","12","4","0","0","10","1"
"34","Degree","RF","200","10","5","12","2","0.5","0","10","1"
"35","Degree","RF","200","10","5","12","3","0.5","0","10","1"
"36","Degree","RF","200","10","5","12","4","0.5","0","10","1"
"37","Interactions","Bagging","200","10","5","12","2","-100","0","10","1"
"38","Interactions","Bagging","200","10","5","12","3","-100","0","10","1"
"39","Interactions","Bagging","200","10","5","12","4","-100","0","10","1"
"40","Interactions","Bagging","200","10","5","12","2","0","0","10","1"
"41","Interactions","Bagging","200","10","5","12","3","0","0","10","1"
"42","Interactions","Bagging","200","10","5","12","4","0","0","10","1"
"43","Interactions","Bagging","200","10","5","12","2","0.5","0","10","1"
"44","Interactions","Bagging","200","10","5","12","3","0.5","0","10","1"
"45","Interactions","Bagging","200","10","5","12","4","0.5","0","10","1"
